### Module positions - created on 10/04/18 08:41:55 ###
### Printed by Pcbnew version kicad (5.0.0)
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val            Package                        PosX       PosY       Rot  Side
C1        4u7            C_0603                      56.9600    28.1000   90.0000  top
C2        1u             C_0603                      55.2600    28.1000   90.0000  top
C3        0u1            C_0603                      53.5100    28.1000   90.0000  top
C4        6p             C_0603                      53.6100    18.6000  270.0000  top
C5        6p             C_0603                      61.3600    23.0000    0.0000  top
C6        1u             C_0603                      11.3100    34.1000   90.0000  top
C7        0u1            C_0603                      15.8100    39.3150    0.0000  top
C8        0u1            C_0603                      11.9600    43.3150   90.0000  top
C9        0u1            C_0603                      29.7100    39.3150    0.0000  top
C10       0u1            C_0603                      25.9600    43.3150   90.0000  top
D1        LED            D_0603                       7.1350    49.5000    0.0000  top
J1        SMA_EDGE       SMA-EDGE-HandSolder         66.2600    42.1000   90.0000  top
L2        18n            L_0603                      59.8600    19.3500  180.0000  top
R1        1M             R_0603                      59.8600    39.5500  180.0000  top
R2        330            R_0603                       8.7100    47.5000  180.0000  top
R3        0              R_0402                      15.0100    37.3000   90.0000  top
R4        DNP            R_0402                      45.6100    14.6000   90.0000  top
U1        RFM95PW        RFM98PW                     49.1600    19.3500  180.0000  top
U2        TXB0108-DFN20  USON-20_2x4mm_Pitch0.4mm    15.0020    42.8150   90.0000  top
U3        TXB0108-DFN20  USON-20_2x4mm_Pitch0.4mm    29.0020    42.8150   90.0000  top
## End
