Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0603",58.075000,8.800000,0.000000,top
"C2","1u","C_0603",58.075000,10.500000,0.000000,top
"C3","0u1","C_0603",58.075000,12.250000,0.000000,top
"C4","6p","C_0603",59.710000,36.190000,180.000000,top
"C5","6p","C_0603",59.710000,40.590000,180.000000,top
"C6","1u","C_0603",23.780000,32.570000,90.000000,top
"C7","0u1","C_0603",21.050000,39.265000,0.000000,top
"C8","0u1","C_0603",17.200000,43.265000,90.000000,top
"C9","0u1","C_0603",29.950000,39.265000,0.000000,top
"C10","0u1","C_0603",26.200000,43.265000,90.000000,top
"C11","1u","C_0603",19.100000,16.100000,90.000000,top
"D1","LED","D_0603",4.825001,4.250000,0.000000,top
"J1","SMA_EDGE","SMA-EDGE-HandSolder",66.500000,42.050000,90.000000,top
"L2","18n","L_0603",60.460000,38.420000,270.000000,top
"R1","1M","R_0603",60.460000,42.810000,90.000000,top
"R2","330","R_0603",6.400000,2.250000,180.000000,top
"R3","0","R_0402",21.970000,31.840000,180.000000,top
"R5","0","R_0402",12.250000,40.850000,180.000000,top
"U1","RFM95PW","RFM98PW",61.242000,17.815000,180.000000,top
"U2","TXB0108-DFN20","USON-20_2x4mm_Pitch0.4mm",20.242000,42.765000,90.000000,top
"U3","TXB0108-DFN20","USON-20_2x4mm_Pitch0.4mm",29.242000,42.765000,90.000000,top
